Chromosome,strand,trans-spliced position,percent SL2,binomial exact p-value for the percent SL2,number of reads,number of SL1 reads,number of total SL2 reads (SL2+SL2 variant reads),number of SL2 variant reads,non-trans-spliced reads at this position,"type of trans-splice site (gene, cis, other)",gene name,gene rank (within operon),position of first AUG,average exp of the gene (dcpm),distance to upstream gene 3' end,position of the upstream gene 3' end,length of 5' UTR (trans-splice site to first AUG),position of the closest annotated 5' end,distance from the closest annotated 5' end to trans-splice site,distance from the closest annotated 5' end to first AUG downstream of trans-splice site
V,+,8075770,0.0,0.25,2,2,0,0,0,gene,C09H5.2,0,8075781,0.766393,15645,8060125,11,8075893,123,112
V,+,8108778,0.0,7.45058e-09,27,27,0,0,0,gene,F58G4.1,0,8108858,0.483946,2065,8106713,80,8108859,81,1
V,+,8130425,0.00372671,0.0,805,802,3,2,3,gene,D1014.3,1,8130427,2.89897,3909,8126516,2,8130425,0,-2
V,+,8133064,0.0,0.125,3,3,0,0,24,gene,D1014.4,2,8133119,0.598457,72,8132992,55,8133246,182,127
V,+,8133240,0.846626,1.59765e-20,163,25,138,98,0,gene,D1014.4,2,8133245,0.598457,81,8133159,5,8133246,6,1
V,+,8143713,0.0,5.96046e-08,24,24,0,0,0,gene,D1014.2,0,8143750,0.0456468,8924,8134789,37,8143569,-144,-181
V,+,8157551,0.0,3.63798e-12,38,38,0,0,1,gene,D1014.1,0,8157553,0.212291,9908,8147643,2,8157554,3,1
V,+,8181234,0.0125,0.0,720,711,9,9,0,gene,F20D6.4,0,8181234,3.20999,15978,8165256,0,8181234,0,0
V,+,8185419,1.0,0.5,1,0,1,1,2,gene,F20D6.2,0,8185428,0.0113075,2169,8183250,9,8185847,428,419
V,+,8201616,0.0,0.0,659,659,0,0,1,gene,K07C11.5,0,8201715,1.56562,9765,8191851,99,8201616,0,-99
V,+,8203171,0.0,0.000488281,11,11,0,0,15,gene,K07C11.4,0,8203318,0.869022,839,8202332,147,8203249,78,-69
V,+,8207043,0.0,0.0,428,428,0,0,0,gene,K07C11.3,0,8207043,1.28813,1252,8205791,0,8207043,0,0
V,+,8221296,0.00137615,0.0,2180,2177,3,3,229,gene,K07C11.2,0,8221308,2.44147,11784,8209512,12,8221296,0,-12
V,+,8259123,0.00840336,1.79051e-34,119,118,1,1,0,gene,C16D9.1,0,8259181,0.262338,20415,8238708,58,8259123,0,-58
V,+,8264155,0.0,5.16988e-26,84,84,0,0,0,gene,C16D9.9,0,8264167,0.111973,3033,8261122,12,8264048,-107,-119
V,+,8270450,0.0,0.0,405,405,0,0,0,gene,F21F8.4,1,8270451,0.995791,5960,8264490,1,8270450,0,-1
V,+,8272192,0.00928493,0.0,23802,23581,221,138,68,gene,F21F8.3,2,8272193,30.1426,330,8271862,1,8272192,0,-1
V,+,8336465,0.00537634,0.0,186,185,1,1,0,gene,C08D8.2,0,8336495,0.386663,13736,8322729,30,8336465,0,-30
V,+,8345090,0.0,0.5,1,1,0,0,1,gene,C08D8.1,0,8345240,0.0301754,4607,8340483,150,8345566,476,326
V,+,8345575,0.0,0.00390625,8,8,0,0,0,gene,C08D8.1,0,8345587,0.0301754,369,8345206,12,8345566,-9,-21
V,+,8355795,0.00529101,0.0,189,188,1,1,1,gene,F38E1.7,0,8355904,1.14843,3214,8352581,109,8355795,0,-109
V,+,8370818,0.0322581,1.44355e-08,31,30,1,1,0,gene,F38E1.5,0,8370820,0.0865791,9018,8361800,2,8370821,3,1
V,+,8379313,0.0,2.77556e-17,55,55,0,0,9,gene,F52E1.5,0,8379326,0.227847,1562,8377751,13,8379313,0,-13
V,+,8383670,0.0,0.0078125,7,7,0,0,2,gene,F52E1.14,0,8383727,5.23603,195,8383475,57,8383729,59,2
V,+,8413894,0.0039278,0.0,10693,10651,42,40,22,gene,F52E1.1,0,8413900,8.83727,2318,8411576,6,8413892,-2,-8
V,+,8455992,0.0,0.00390625,8,8,0,0,0,gene,T23B12.11,0,8455997,0.699465,40936,8415056,5,8455979,-13,-18
V,+,8462193,0.0,5.60519e-45,147,147,0,0,269,gene,T23B12.4,1,8462205,0.863679,4781,8457412,12,8462133,-60,-72
V,+,8465492,0.876543,0.0,891,110,781,551,10,gene,T23B12.3,2,8465719,2.11547,117,8465375,227,8465492,0,-227
V,+,8467071,0.972441,0.0,254,7,247,165,2,gene,T23B12.2,3,8467131,1.01057,106,8466965,60,8467071,0,-60
V,+,8468846,0.960526,0.0,228,9,219,159,0,gene,T23B12.1,4,8468858,0.499281,94,8468752,12,8468846,0,-12
V,+,8494697,0.0,4.03897e-28,91,91,0,0,0,gene,ZK994.3,0,8494700,0.280992,24821,8469876,3,8494695,-2,-5
V,+,8545985,0.0,1.57772e-30,99,99,0,0,0,gene,F25G6.6,0,8546092,0.421165,8067,8537918,107,8546093,108,1
V,+,8552500,0.0,5.68434e-14,44,44,0,0,9,gene,F25G6.4,0,8552513,0.0815729,1530,8550970,13,8552500,0,-13
V,+,8561021,0.0,1.42109e-14,46,46,0,0,1,gene,F25G6.3,0,8561042,0.114142,5828,8555193,21,8561021,0,-21
V,+,8570116,0.00909091,8.47409e-32,110,109,1,1,0,gene,F25G6.2,1,8570146,0.543742,5966,8564150,30,8570116,0,-30
V,+,8575988,0.0,0.5,1,1,0,0,0,gene,F25G6.1,2,8575990,0.0966851,929,8575059,2,8575889,-99,-101
V,+,8581324,0.9375,3.44438e-14,64,4,60,43,5,gene,C10B5.1,3,8581385,0.0868849,91,8581233,61,8581324,0,-61
V,+,8594719,0.00162866,0.0,614,613,1,1,0,gene,F41E6.6,0,8594723,2.49441,11338,8583381,4,8594719,0,-4
V,+,8603461,0.0,0.125,3,3,0,0,65,gene,F41E6.5,0,8603481,0.801187,6189,8597272,20,8603400,-61,-81
V,+,8607605,0.00193798,0.0,516,515,1,1,1,gene,F41E6.4,0,8607606,2.07401,2311,8605294,1,8607605,0,-1
V,+,8618817,0.0,1.77636e-15,49,49,0,0,7,gene,F41E6.2,0,8618854,12.0129,3171,8615646,37,8618837,20,-17
V,+,8618844,0.000328084,0.0,6096,6094,2,1,68,gene,F41E6.2,0,8618854,12.0129,3198,8615646,10,8618837,-7,-17
V,+,8665870,0.0,0.0,391,391,0,0,3,gene,ZC190.4,0,8665883,1.04848,25393,8640477,13,8665870,0,-13
V,+,8681150,0.0,0.5,1,1,0,0,0,gene,ZC190.2,0,8681154,0.00422911,9670,8671480,4,8681155,5,1
V,+,8682857,0.0,3.72529e-09,28,28,0,0,14,gene,ZC190.1,0,8682872,0.233043,113,8682744,15,8682857,0,-15
V,+,8716300,0.0,0.000976562,10,10,0,0,4,gene,ZC196.7,0,8716325,0.0998635,13435,8702865,25,8716300,0,-25
V,+,8726323,0.0,2.91038e-11,35,35,0,0,0,gene,ZC196.6,0,8726332,0.117348,5713,8720610,9,8726333,10,1
V,+,8726329,0.0,1.45519e-11,36,36,0,0,1,gene,ZC196.6,0,8726332,0.117348,5719,8720610,3,8726333,4,1
V,+,8736476,0.0,0.0078125,7,7,0,0,1,gene,ZC196.3,0,8736478,0.0400218,890,8735586,2,8736479,3,1
V,+,8739240,0.0,5.68434e-14,44,44,0,0,0,gene,ZC196.2,0,8739241,0.111532,998,8738242,1,8739242,2,1
V,+,8768713,0.0,1.11022e-16,53,53,0,0,2,gene,B0507.3,0,8768722,0.281644,13149,8755564,9,8768713,0,-9
V,+,8769407,0.0,0.0078125,7,7,0,0,0,gene,B0507.3,0,8769477,0.281644,13843,8755564,70,8769407,0,-70
V,+,8771684,1.0,0.5,1,0,1,1,0,gene,B0507.11,0,8771702,0.001579,1008,8770676,18,8771703,19,1
V,+,8774136,0.00416667,0.0,240,239,1,0,6,gene,B0507.2,0,8774142,0.779037,551,8773585,6,8774136,0,-6
V,+,8786142,0.0,0.125,3,3,0,0,1,gene,C01B7.1,0,8786632,1.32407,7022,8779120,490,8786644,502,12
V,+,8786355,0.00594354,0.0,673,669,4,4,1,gene,C01B7.1,0,8786632,1.32407,7235,8779120,277,8786355,0,-277
V,+,8786644,0.0,0.25,2,2,0,0,0,gene,C01B7.1,0,8786651,1.32407,7524,8779120,7,8786644,0,-7
V,+,8827945,0.0,0.25,2,2,0,0,0,gene,W09B7.2,0,8827968,0,35366,8792579,23,8827969,24,1
V,+,8898866,0.0,0.00012207,13,13,0,0,0,gene,K06C4.17,0,8898867,0.0905969,523,8898343,1,8899080,214,213
V,+,8907006,0.0,1.77636e-15,49,49,0,0,0,gene,K06C4.8,0,8907020,0.100536,1770,8905236,14,8907433,427,413
V,+,8907427,0.0,0.125,3,3,0,0,0,gene,K06C4.8,0,8907432,0.100536,2191,8905236,5,8907433,6,1
V,+,8922892,0.000644745,0.0,3102,3100,2,2,9,gene,H14N18.3,0,8922892,3.37574,13646,8909246,0,8922892,0,0
V,+,8936096,1.0,0.125,3,0,3,3,0,gene,H14N18.1,0,8936118,1.46343,1963,8934133,22,8936196,100,78
V,+,8936314,0.0,0.25,2,2,0,0,107,gene,H14N18.1,0,8936422,1.46343,2181,8934133,108,8936196,-118,-226
V,+,8937197,0.0,0.0,344,344,0,0,53,gene,H14N18.1,0,8937197,1.46343,3064,8934133,0,8937197,0,0
V,+,8937207,0.0078534,0.0,382,379,3,3,356,gene,H14N18.1,0,8937371,1.46343,3074,8934133,164,8937207,0,-164
V,+,8947603,0.0,4.54747e-13,41,41,0,0,5,gene,T19A5.2,1,8947614,0.948741,8125,8939478,11,8947603,0,-11
V,+,8948510,0.0,2.46519e-32,105,105,0,0,1,gene,T19A5.2,1,8948511,0.948741,9032,8939478,1,8948840,330,329
V,+,8956849,0.311538,3.19529e-10,260,179,81,67,0,gene,T19A5.1,2,8956874,1.06992,420,8956429,25,8956875,26,1
V,+,8994904,0.0301205,0.0,332,322,10,5,0,gene,F59E11.5,0,8994904,0.777802,2012,8992892,0,8994904,0,0
V,+,9000937,0.0,0.5,1,1,0,0,1,gene,F59E11.2,0,9001006,0.0570375,4732,8996205,69,9001333,396,327
V,+,9030352,0.0,1.49012e-08,26,26,0,0,1,gene,C25E10.5,0,9030360,0.249275,11230,9019122,8,9030352,0,-8
V,+,9044975,0.0,0.00195312,9,9,0,0,0,gene,C25E10.1,0,9044985,0.0165666,1508,9043467,10,9044975,0,-10
V,+,9096071,0.00161943,0.0,1235,1233,2,2,2,gene,F21C10.10,0,9096073,7.6913,1912,9094159,2,9096071,0,-2
V,+,9112571,0.00555556,0.0,180,179,1,0,0,gene,F21C10.7,0,9112593,0.616923,1754,9110817,22,9112594,23,1
V,+,9123463,0.0410959,6.58526e-18,73,70,3,2,1,gene,F21C10.11,0,9123479,3.43621,149,9123314,16,9123487,24,8
V,+,9175600,0.00722543,0.0,692,687,5,5,1,gene,C24B5.2,0,9175604,1.03862,548,9175052,4,9175600,0,-4
V,+,9191418,0.0,9.53674e-07,20,20,0,0,1,gene,C24B5.1,0,9191486,0.175169,13621,9177797,68,9191487,69,1
V,+,9202879,0.0049597,0.0,3226,3210,16,14,65,gene,T18H9.2,0,9202880,15.338,838,9202041,1,9202879,0,-1
V,+,9225896,0.0142045,0.0,352,347,5,1,0,gene,F07C3.2,0,9225911,0.867773,1746,9224150,15,9225896,0,-15
V,+,9225904,0.0,0.0625,4,4,0,0,664,gene,F07C3.2,0,9225911,0.867773,1754,9224150,7,9225896,-8,-15
V,+,9297433,0.0,0.0,219,219,0,0,1,gene,F44A2.5,0,9297673,0.797839,43395,9254038,240,9297433,0,-240
V,+,9318112,0.0,6.10352e-05,14,14,0,0,0,gene,F44A2.2,0,9318113,0.0415545,7386,9310726,1,9318104,-8,-9
V,+,9321294,0.0,0.00195312,9,9,0,0,2,gene,F44A2.7,0,9321303,0.0364622,495,9320799,9,9321304,10,1
V,+,9323003,0.0,0.0,537,537,0,0,8,gene,F44A2.1,0,9323098,1.22538,308,9322695,95,9323012,9,-86
V,+,9328664,0.0,3.8147e-06,18,18,0,0,0,gene,K07B1.4,0,9328729,1.00132,1657,9327007,65,9328771,107,42
V,+,9328771,0.157025,1.03696e-42,363,306,57,51,2,gene,K07B1.4,0,9328809,1.00132,1764,9327007,38,9328771,0,-38
V,+,9330051,0.0,5.29396e-23,74,74,0,0,2,gene,K07B1.4,0,9330185,1.00132,3044,9327007,134,9330051,0,-134
V,+,9334574,0.0021978,0.0,455,454,1,0,0,gene,K07B1.3,1,9334713,0.293344,3253,9331321,139,9334574,0,-139
V,+,9336563,0.935368,0.0,557,36,521,359,2,gene,K07B1.2,2,9336614,0.759613,100,9336463,51,9336563,0,-51
V,+,9346845,0.0,9.53674e-07,20,20,0,0,2,gene,K07B1.1,0,9346861,0.175625,8203,9338642,16,9346938,93,77
V,+,9346978,0.0,0.03125,5,5,0,0,0,gene,K07B1.1,0,9346980,0.175625,8336,9338642,2,9346938,-40,-42
V,+,9385982,0.0,0.0,175,175,0,0,0,gene,F36D4.3,1,9386030,1.44943,14246,9371736,48,9385955,-27,-75
V,+,9396300,0.0,8.27181e-25,80,80,0,0,9,gene,F36D4.3,1,9396328,1.44943,24564,9371736,28,9396300,0,-28
V,+,9396548,0.0,0.5,1,1,0,0,7,gene,F36D4.3,1,9396569,1.44943,24812,9371736,21,9396548,0,-21
V,+,9397783,1.0,0.0078125,7,0,7,5,2,gene,F36D4.3,1,9397814,1.44943,105,9397678,31,9398114,331,300
V,+,9398114,0.904762,2.54499e-08,42,4,38,32,3,gene,F36D4.3,1,9398267,1.44943,436,9397678,153,9398114,0,-153
V,+,9400128,0.537037,0.0145649,378,175,203,149,3,gene,F36D4.2,2,9400134,0.626132,265,9399863,6,9400135,7,1
V,+,9454184,0.0192308,1.15463e-14,52,51,1,0,0,gene,H24G06.1,0,9454390,1.32423,26020,9428164,206,9454184,0,-206
V,+,9456040,0.00666667,1.05097e-43,150,149,1,1,3,gene,H24G06.1,0,9456086,1.32423,27876,9428164,46,9456040,0,-46
V,+,9471776,0.0,0.0,884,884,0,0,0,gene,F07D3.2,0,9471778,1.07905,11206,9460570,2,9471779,3,1
V,+,9501202,0.015625,3.46945e-18,64,63,1,0,0,gene,K06A4.4,0,9501202,0.315302,2027,9499175,0,9501203,1,1
V,+,9505406,0.0,0.0,581,581,0,0,3,gene,K06A4.5,0,9505489,0.731882,1025,9504381,83,9505490,84,1
V,+,9507933,0.00368324,0.0,543,541,2,1,129,gene,F11A3.1,0,9507934,1.26842,1014,9506919,1,9507933,0,-1
V,+,9513978,0.0,0.0,180,180,0,0,1,gene,F11A3.2,0,9514019,0.694345,1133,9512845,41,9513978,0,-41
V,+,9526362,0.0,0.03125,5,5,0,0,3,gene,C50F4.1,0,9526399,1.28736,8920,9517442,37,9526534,172,135
V,+,9526594,0.0,1.42109e-14,46,46,0,0,53,gene,C50F4.1,0,9526645,1.28736,9152,9517442,51,9526594,0,-51
V,+,9534729,0.0,0.5,1,1,0,0,19,gene,C50F4.3,0,9534744,0.898469,400,9534329,15,9534727,-2,-17
V,+,9536621,0.0,1.35525e-20,66,66,0,0,40,gene,C50F4.4,0,9536625,0.238785,417,9536204,4,9536586,-35,-39
V,+,9550445,0.00714286,1.00445e-40,140,139,1,1,1,gene,F25B3.1,0,9550587,0.86299,3040,9547405,142,9550445,0,-142
V,+,9577146,0.0,9.31323e-10,30,30,0,0,2,gene,F25B3.2,0,9577153,0.168516,21316,9555830,7,9576929,-217,-224
V,+,9585985,0.0,0.0,157,157,0,0,1,gene,K09G1.1,0,9586040,3.61185,6160,9579825,55,9585985,0,-55
V,+,9588960,0.00114482,0.0,1747,1745,2,2,57,gene,K09G1.1,0,9588967,3.61185,9135,9579825,7,9588960,0,-7
V,+,9608363,0.0,4.65661e-10,31,31,0,0,0,gene,K09G1.4,0,9608380,0.093752,17306,9591057,17,9608363,0,-17
V,+,9645662,0.00867052,0.0,346,343,3,3,29,gene,T06E4.1,0,9645682,0.886822,13605,9632057,20,9645641,-21,-41
V,+,9654556,0.0,0.25,2,2,0,0,3,gene,B0331.1,0,9654557,0.0181126,4544,9650012,1,9654506,-50,-51
V,+,9666501,0.0196078,2.26485e-14,51,50,1,0,0,gene,ZK287.1,0,9666736,0.628116,8714,9657787,235,9666501,0,-235
V,+,9678077,0.0017301,0.0,578,577,1,0,5,gene,ZK287.3,0,9678086,0.786476,8224,9669853,9,9678075,-2,-11
V,+,9692863,0.0,0.0,343,343,0,0,5,gene,ZK287.7,0,9692868,0.334556,12849,9680014,5,9692863,0,-5
V,+,9705157,0.00339559,0.0,2945,2935,10,1,0,gene,F40F9.1,0,9705158,3.15867,3323,9701834,1,9705157,0,-1
V,+,9729662,0.0,0.5,1,1,0,0,0,gene,F40F9.7,0,9729724,2.75364,10161,9719501,62,9729911,249,187
V,+,9729900,0.0,0.0078125,7,7,0,0,0,gene,F40F9.7,0,9730072,2.75364,10399,9719501,172,9729911,11,-161
V,+,9729911,0.00286533,0.0,349,348,1,1,8,gene,F40F9.7,0,9730072,2.75364,10410,9719501,161,9729911,0,-161
V,+,9731758,0.0,0.0,238,238,0,0,11,gene,F40F9.7,0,9731778,2.75364,950,9730808,20,9731758,0,-20
V,+,9731768,0.0,2.32831e-10,32,32,0,0,436,gene,F40F9.7,0,9731778,2.75364,960,9730808,10,9731758,-10,-20
V,+,9731888,0.0,0.000976562,10,10,0,0,81,gene,F40F9.7,0,9731963,2.75364,1080,9730808,75,9731758,-130,-205
V,+,9732314,0.25,0.25,4,3,1,0,5,gene,F40F9.7,0,9732318,2.75364,278,9732036,4,9732314,0,-4
V,+,9741022,0.0,5.16988e-26,84,84,0,0,4,gene,F58E6.1,0,9741045,0.594808,329,9740693,23,9741022,0,-23
V,+,9745039,0.00124146,0.0,1611,1609,2,0,3,gene,F58E6.13,0,9745039,None,914,9744125,0,9745040,1,1
V,+,9796662,0.0,5.55112e-17,54,54,0,0,0,gene,F46B6.9,0,9796677,0.100033,3582,9793080,15,9796662,0,-15
V,+,9807431,0.0,0.5,1,1,0,0,0,gene,C50C10.8,0,9807434,0.00325095,1031,9806400,3,9807435,4,1
V,+,9811242,0.0,0.25,2,2,0,0,0,gene,C50C10.2,0,9811242,0.000893211,2010,9809232,0,9811261,19,19
V,+,9816483,0.0,0.015625,6,6,0,0,0,gene,C50C10.4,0,9816489,0.00588484,1676,9814807,6,9816490,7,1
V,+,9819056,0.0,0.25,2,2,0,0,0,gene,C50C10.5,0,9819078,None,1336,9817720,22,9819079,23,1
V,+,9838271,0.0,0.5,1,1,0,0,2,gene,R07B5.5,0,9838332,0.00152989,8300,9829971,61,9837779,-492,-553
V,+,9889639,0.0,3.46945e-18,58,58,0,0,1,gene,C50H2.1,0,9889726,0.314298,8658,9880981,87,9889639,0,-87
V,+,9899385,0.0,0.000488281,11,11,0,0,0,gene,C50H2.2,0,9899386,0.0608779,4736,9894649,1,9899387,2,1
V,+,9904817,0.142857,0.0546875,7,6,1,0,0,gene,C50H2.2,0,9904912,0.0608779,10168,9894649,95,9904817,0,-95
V,+,9916767,0.0,0.03125,5,5,0,0,3,gene,C50H2.4,0,9916774,0.0195503,2438,9914329,7,9916775,8,1
V,+,9925929,0.0,0.5,1,1,0,0,0,gene,C50H2.13,0,9925990,0.168995,2078,9923851,61,9926344,415,354
V,+,9926346,0.0,5.29396e-23,74,74,0,0,1,gene,C50H2.13,0,9926409,0.168995,327,9926019,63,9926344,-2,-65
V,+,9930821,0.0164425,0.0,669,658,11,9,0,gene,T07C12.14,0,9930826,0.707807,3137,9927684,5,9930819,-2,-7
V,+,9930834,0.0,0.125,3,3,0,0,2570,gene,T07C12.14,0,9930950,0.707807,3150,9927684,116,9930819,-15,-131
V,+,9951033,0.00470163,0.0,5530,5504,26,19,21,gene,T07C12.7,0,9951034,6.97513,5759,9945274,1,9951033,0,-1
V,+,9982668,0.899642,0.0,279,28,251,202,2,gene,C27H6.9,2,9982679,None,110,9982558,11,9982680,12,1
V,+,9982677,1.0,0.5,1,0,1,1,708,gene,C27H6.9,2,9982679,None,119,9982558,2,9982680,3,1
V,+,9991698,0.0,0.5,1,1,0,0,24,gene,K08H10.9,0,9991706,0.829646,8013,9983685,8,9991652,-46,-54
V,+,10000862,0.02,4.44089e-14,50,49,1,1,1,gene,K08H10.10,0,10000917,None,2544,9998318,55,10000918,56,1
V,+,10004555,0.00303721,0.0,1317,1313,4,4,7,gene,K08H10.4,0,10004616,1.50777,2102,10002453,61,10004555,0,-61
V,+,10011673,0.00308642,0.0,324,323,1,0,1,gene,K08H10.3,0,10011722,0.545181,4391,10007282,49,10011723,50,1
V,+,10013065,0.0,0.0,261,261,0,0,0,gene,K08H10.3,0,10013073,0.545181,5783,10007282,8,10013074,9,1
V,+,10020345,0.00374237,0.0,5077,5058,19,17,0,gene,K08H10.1,1,10020362,9.32899,7073,10013272,17,10020345,0,-17
V,+,10023359,1.0,0.5,1,0,1,1,2,gene,K08H10.2,2,10023404,1.9173,325,10023034,45,10023359,0,-45
V,+,10037140,0.0,3.46945e-18,58,58,0,0,1,gene,F57A8.1,0,10037218,2.55478,9183,10027957,78,10037140,0,-78
V,+,10043477,0.00448431,0.0,446,444,2,1,0,gene,F57A8.1,0,10043478,2.55478,15520,10027957,1,10043477,0,-1
V,+,10066880,0.0,7.62939e-06,17,17,0,0,0,gene,F57A8.4,0,10066886,0.0763678,2137,10064743,6,10066887,7,1
V,+,10087286,0.0428571,4.63666e-17,70,67,3,2,1,gene,R04B5.5,0,10087287,0.335961,230,10087056,1,10087288,2,1
V,+,10107428,1.0,0.5,1,0,1,0,2,gene,C08B6.11,0,10107449,0.128291,128,10107300,21,10107731,303,282
V,+,10107554,0.0,0.00195312,9,9,0,0,3,gene,C08B6.11,0,10107587,0.128291,254,10107300,33,10107731,177,144
V,+,10114965,0.0,0.25,2,2,0,0,1,gene,C08B6.4,0,10114965,0.2712,5259,10109706,0,10114965,0,0
V,+,10125299,0.0,3.67342e-40,131,131,0,0,308,gene,C08B6.10,0,10125303,0.800371,700,10124599,4,10124851,-448,-452
V,+,10134442,0.00294118,0.0,680,678,2,2,1,gene,C08B6.8,0,10134446,0.884843,7073,10127369,4,10134460,18,14
V,+,10143733,1.0,0.0625,4,0,4,3,0,gene,C08B6.15,0,10143734,None,889,10142844,1,10143735,2,1
V,+,10158629,0.0,0.03125,5,5,0,0,0,gene,C51E3.5,0,10158631,0.0123782,2638,10155991,2,10158632,3,1
V,+,10179333,0.00550747,0.0,1271,1264,7,6,1,gene,ZK856.1,1,10179362,0.693053,19237,10160096,29,10179333,0,-29
V,+,10198489,0.0,0.00390625,8,8,0,0,1,gene,ZK856.6,0,10198501,0.0783497,14245,10184244,12,10198502,13,1
V,+,10201883,0.0,0.5,1,1,0,0,38,gene,ZK856.7,0,10201896,12.0764,1956,10199927,13,10201896,13,0
V,+,10201896,0.00156326,0.0,10235,10219,16,15,77,gene,ZK856.7,0,10201896,12.0764,1969,10199927,0,10201896,0,0
V,+,10212721,0.0,0.0078125,7,7,0,0,1,gene,ZK856.12,0,10212746,0.474676,9675,10203046,25,10212747,26,1
V,+,10212727,0.0,0.0,216,216,0,0,0,gene,ZK856.12,0,10212746,0.474676,9681,10203046,19,10212747,20,1
V,+,10212733,0.0,1.29247e-26,86,86,0,0,19,gene,ZK856.12,0,10212746,0.474676,9687,10203046,13,10212747,14,1
V,+,10212986,0.0,0.5,1,1,0,0,124,gene,ZK856.12,0,10213003,0.474676,9940,10203046,17,10212747,-239,-256
V,+,10248706,0.00344531,0.0,1161,1157,4,3,1,gene,C12D8.10,0,10248754,2.24548,6189,10242517,48,10248706,0,-48
V,+,10255968,0.0,0.0625,4,4,0,0,1,gene,Y22F5A.1,0,10256048,0.167392,3327,10252641,80,10256159,191,111
V,+,10277703,0.0027791,0.0,14753,14712,41,30,191,gene,Y22F5A.4,0,10277706,16.5494,19250,10258453,3,10277703,0,-3
V,+,10277789,0.0,0.000976562,10,10,0,0,1152,gene,Y22F5A.4,0,10277869,16.5494,19336,10258453,80,10277703,-86,-166
V,+,10287365,0.0,3.72529e-09,28,28,0,0,0,gene,B0024.3,0,10287374,0.101809,8419,10278946,9,10287375,10,1
V,+,10289842,0.0,1.52588e-05,16,16,0,0,1,gene,B0024.15,0,10289845,0.0366414,752,10289090,3,10289842,0,-3
V,+,10297244,0.0,0.5,1,1,0,0,240,gene,B0024.4,0,10297270,0.520177,2777,10294467,26,10297198,-46,-72
V,+,10314439,0.0,1.69407e-21,69,69,0,0,1,gene,B0024.9,0,10314455,1.95641,15660,10298779,16,10314439,0,-16
V,+,10314469,0.00410557,0.0,1705,1698,7,7,103,gene,B0024.9,0,10314546,1.95641,15690,10298779,77,10314439,-30,-107
V,+,10314475,0.0,4.54747e-13,41,41,0,0,699,gene,B0024.9,0,10314546,1.95641,15696,10298779,71,10314439,-36,-107
V,+,10320515,0.0166667,0.0,240,236,4,4,1,gene,B0024.13,0,10320515,0.881084,5398,10315117,0,10320516,1,1
V,+,10339300,0.00326797,0.0,306,305,1,1,3,gene,K07C5.2,1,10339302,0.723733,17199,10322101,2,10339300,0,-2
V,+,10342323,0.0125,8.40779e-45,160,158,2,1,3,gene,K07C5.13,2,10342331,None,1552,10340771,8,10342332,9,1
V,+,10342832,0.415644,2.82941e-06,652,381,271,206,33,gene,K07C5.3,3,10342887,0.830505,95,10342737,55,10342832,0,-55
V,+,10358349,0.0,7.62939e-06,17,17,0,0,1,gene,K07C5.7,0,10358359,0.169935,13062,10345287,10,10358351,2,-8
V,+,10362063,0.0039032,0.0,1281,1276,5,4,1,gene,K07C5.8,0,10362124,1.83422,775,10361288,61,10362125,62,1
V,+,10372127,0.0,1.32349e-23,76,76,0,0,0,gene,AC3.2,0,10372139,0.677682,2440,10369687,12,10371941,-186,-198
V,+,10388315,0.00409836,0.0,244,243,1,1,35,gene,AC3.5,0,10388326,0.898194,2804,10385511,11,10388315,0,-11
V,+,10395588,0.0,0.25,2,2,0,0,9,gene,AC3.7,0,10395604,0.221749,2287,10393301,16,10395477,-111,-127
V,+,10436803,0.00361011,0.0,277,276,1,1,10,gene,Y32F6A.1,1,10436815,0.4284,35696,10401107,12,10436803,0,-12
V,+,10441781,0.0578358,0.0,536,505,31,25,1,gene,Y32F6A.3,2,10441848,1.50761,884,10440897,67,10441781,0,-67
V,+,10441907,0.0,0.5,1,1,0,0,0,gene,Y32F6A.3,2,10441916,1.50761,1010,10440897,9,10441907,0,-9
V,+,10462038,0.0,1.49012e-08,26,26,0,0,1,gene,F22E12.2,0,10462081,0.629406,9290,10452748,43,10462082,44,1
V,+,10462082,0.0,0.0,282,282,0,0,10,gene,F22E12.2,0,10462097,0.629406,9334,10452748,15,10462082,0,-15
V,+,10468317,0.0,0.0,376,376,0,0,28,gene,F22E12.4,0,10468319,0.830712,3857,10464460,2,10468317,0,-2
V,+,10468744,0.0,0.5,1,1,0,0,0,gene,F22E12.4,0,10468826,0.830712,4284,10464460,82,10468744,0,-82
V,+,10470200,0.0,0.125,3,3,0,0,0,gene,F22E12.4,0,10470223,0.830712,5740,10464460,23,10470200,0,-23
V,+,10473135,0.0,1.35525e-20,66,66,0,0,1,gene,F22E12.4,0,10473136,0.830712,8675,10464460,1,10473137,2,1
V,+,10478366,0.0,0.0,252,252,0,0,9,gene,Y32F6B.3,0,10478417,0.348181,1659,10476707,51,10478390,24,-27
V,+,10557776,0.0140845,0.0,213,210,3,2,0,gene,F32G8.4,0,10557803,1.32366,3331,10554445,27,10557776,0,-27
V,+,10564680,0.00286123,0.0,699,697,2,2,0,gene,F32G8.6,0,10564713,1.46245,2636,10562044,33,10564678,-2,-35
V,+,10572720,0.0,0.0,269,269,0,0,0,gene,T21C9.3,0,10572720,2.28581,6482,10566238,0,10572720,0,0
V,+,10579111,0.00426743,0.0,2109,2100,9,4,1,gene,T21C9.5,0,10579121,6.95888,3737,10575374,10,10579109,-2,-12
